-13289,16603,20160,2916,-156,538,-14065,-859,
-12774,17505,19552,2904,578,-786,-13470,-920,
-12379,17676,18388,3391,950,-1297,-12564,-2407,
-11316,17634,16995,4172,1588,-1127,-12956,-1908,
-11114,18028,16185,3637,1692,-1801,-12392,-1242,
-10044,17629,14378,3661,2232,-1907,-12164,-1882,
-8602,17712,13547,4216,2377,-1552,-12643,-2289,
-8322,17637,12812,3681,2917,-2371,-14052,-2033,
-7042,16786,10696,3474,4127,-2571,-13148,-1709,
-6579,17178,9530,3317,4100,-2791,-13611,-2352,
-5969,15181,9609,3305,4030,-2918,-12686,-2294,
-5188,16660,8290,3638,4779,-4081,-12410,-2683,
-5441,15835,8305,3806,5155,-4507,-13077,-2892,
-5380,15976,7137,3907,4972,-5608,-11584,-2964,
-4865,14519,7114,3814,4959,-4901,-11507,-3433,
-5091,16809,6015,3725,5080,-6106,-10349,-3286,
-5138,17112,5948,4691,5760,-6965,-10362,-3549,
-4663,17570,5308,5029,5715,-6404,-10100,-3332,
-4465,18403,4478,5411,5902,-6542,-10202,-3407,
-4055,19392,2519,6239,6070,-7717,-9375,-3972,
-3356,20694,1225,5798,7168,-8204,-9305,-3985,
-3728,20591,436,5898,6009,-7971,-8680,-3140,
-3178,21044,-1219,6862,6607,-9058,-8751,-4030,
-2823,20314,-2564,6649,7730,-9548,-8206,-4663,
-2832,19816,-3422,7055,7480,-10233,-7422,-4412,
-2454,20422,-4871,7400,7194,-10262,-6767,-3584,
-1969,20413,-6068,7002,7371,-10338,-6353,-3465,
-1166,19777,-6002,7264,7938,-10854,-6252,-5167,
-1133,18776,-6642,6903,8193,-11116,-6017,-4290,
-875,18870,-7141,7363,8252,-11624,-5857,-3931,
-627,17719,-7529,7090,8069,-11911,-6280,-4734,
-1598,16187,-6878,7210,7957,-11833,-6356,-5223,
-834,16455,-7854,7054,7797,-13351,-4960,-4680,
-768,16310,-7086,7246,7564,-13939,-5394,-4700,
-58,16318,-8083,7407,7289,-15929,-4742,-5497,
327,15669,-7161,6967,7338,-16403,-3800,-5318,
1183,16622,-7698,8164,7193,-16453,-3157,-4799,
2054,17755,-7414,7178,6819,-18268,-2077,-5907,
2997,18139,-8689,7466,5948,-17559,-2132,-4460,
3315,17621,-8161,7702,6472,-19128,-2217,-4488,
3616,18344,-8424,7308,7034,-19487,-2216,-5171,
4589,19326,-9052,7786,6147,-18111,-2233,-4337,
5055,18615,-9628,7952,6177,-18535,-1300,-4074,
5464,19728,-10725,8314,6846,-19034,-2200,-3988,
5640,18579,-10785,8163,6166,-20183,-1167,-4175,
7100,19735,-13465,9399,6188,-19244,-913,-3704,
8295,19879,-14513,9478,6435,-20877,-280,-4346,
8197,19629,-16110,9532,6378,-20760,769,-4372,
8793,18967,-18047,10141,7494,-21001,1542,-4163,
9099,18146,-19266,10661,7089,-20628,2397,-4192,
10477,17677,-20421,10846,7359,-20657,3470,-4071,
11699,17373,-23393,11328,7774,-20718,4549,-4131,
11642,15385,-22139,10635,7137,-19102,4143,-3462,
12869,15036,-23357,11023,6768,-18635,4956,-2421,
14578,14988,-25637,11116,7074,-17460,5407,-2236,
14231,14155,-23589,10473,7315,-17166,4975,-2193,
14977,15628,-24789,11283,7868,-16819,5193,-1999,
16413,13952,-26394,11929,8379,-16438,5341,-1106,
15871,13545,-26926,11082,8514,-15332,4906,-340,
15636,14332,-25722,11073,7610,-14282,3819,-596,
16155,12585,-26019,10966,8238,-14510,3919,220,
16863,12159,-27488,11599,7961,-14021,3264,1363,
17230,11270,-26504,10119,7566,-12754,3297,928,
17587,10626,-25934,9975,7629,-12403,2560,1556,
18293,9364,-26746,10512,7610,-11420,2936,2029,
18378,8247,-25441,10455,7493,-9823,2401,2924,
19085,6900,-26173,9964,6579,-9113,1350,2351,
18425,6197,-25921,10019,6533,-7265,571,3268,
19276,5098,-26789,9644,6078,-6855,905,3530,
19104,3520,-26064,9941,5985,-6767,-43,3625,
19340,2090,-26186,9670,5800,-5145,-1230,3904,
20055,1187,-26348,9477,5617,-4640,-1305,3922,
22516,304,-27170,9481,5474,-4614,-424,4195,
21463,-387,-26598,9872,5037,-3475,-654,3749,
23465,-1083,-27921,10245,4066,-2836,-118,4356,
25054,-1727,-27861,10263,3089,-2526,-364,4515,
25672,-1192,-28574,10211,2192,-2022,505,4814,
26907,-485,-30040,11174,2075,-1360,467,5153,
28535,-1552,-31431,10293,987,-1092,553,4842,
28608,-600,-31279,11059,77,-1653,1006,5352,
31498,-1846,-32204,11337,346,-115,944,5625,
30512,-2356,-31847,10607,-280,-1436,1053,5526,
31662,-1522,-31074,11160,-760,-1130,823,6037,
32767,-1993,-32768,11487,-1348,-1245,998,6766,
32767,-1132,-32768,11491,-1820,-757,106,6656,
32767,-2786,-32768,11734,-2012,-903,978,6427,
32767,-1792,-32768,11295,-1880,-1051,1558,7072,
32767,-2026,-32768,12087,-2235,-405,1246,6465,
32575,-3560,-32768,11312,-2460,-858,1986,6218,
32496,-5238,-32768,11477,-2296,-214,2495,6751,
30860,-4965,-32768,11065,-1581,1063,2966,7175,
31301,-7147,-32768,11089,-1138,1578,2650,7330,
31116,-8964,-32768,10868,-555,2631,2313,7711,
30181,-8832,-32768,10702,-992,3539,2136,8051,
30472,-10076,-32768,10491,-1769,3813,1040,8005,
29749,-10724,-32768,10544,-1631,4644,600,9210,
29525,-11573,-31860,10381,-1601,6022,124,10028,
28717,-11099,-28953,10083,-1549,6194,-353,9843,
29504,-11352,-28625,10810,-1110,6512,-955,10068,
30506,-13471,-30771,10381,-1846,7720,-1889,10355,
29461,-12210,-30826,10909,-1489,8319,-2531,10479,
30301,-12187,-30718,11101,-1562,10154,-4135,11048,
29415,-11133,-30943,11020,-2243,8860,-3754,11118,
29417,-11132,-30226,11568,-1505,8843,-4483,11117,
29329,-10350,-30519,11369,-1661,10374,-6164,12046,
30749,-10668,-32288,11880,-1123,10284,-6685,12029,
28687,-9173,-30816,11314,123,9734,-6919,11615,
28378,-10001,-30090,12735,-727,10243,-6015,11703,
28202,-8998,-30708,11958,75,10135,-6341,11752,
27228,-8748,-30538,11551,1230,10999,-6545,11377,
26496,-8461,-30518,11854,1248,10364,-5765,11447,
25121,-8400,-29345,11710,1665,10681,-5525,11084,
24616,-6770,-28850,11675,1903,10939,-4617,10574,
23478,-6570,-28811,12256,2832,11280,-4103,10375,
21785,-5891,-27243,12004,3631,11907,-4015,11191,
21897,-4963,-28257,11964,4784,12771,-3388,10287,
20076,-3712,-27165,12000,5874,12988,-3268,10773,
18934,-3598,-26942,12538,5688,12432,-3638,10021,
18460,-2800,-26154,12611,6820,12876,-3296,10435,
16363,-2291,-25549,11944,7702,12366,-3612,10086,
15244,-2388,-25741,12050,7826,12389,-4003,10138,
13882,-1817,-23661,11878,9151,12328,-4361,10446,
12321,-1936,-22454,11656,10474,12302,-4839,10125,
10202,-2009,-21942,11300,11384,11640,-5203,9710,
8301,-1910,-20990,11096,12946,12538,-6136,9853,
8053,-2046,-19895,11636,13774,12552,-5709,9782,
6871,-886,-18829,11682,14271,12041,-6124,9869,
6596,-1601,-17705,11137,15936,12713,-6657,10160,
5606,-2211,-16410,11034,17070,13101,-7200,9674,
4308,-1569,-15992,11297,17015,12945,-7079,9851,
2590,-1625,-15403,10746,16818,12642,-6690,9453,
1774,-2145,-13465,10802,17318,12387,-7564,9109,
1147,-2621,-11987,10826,18191,12962,-7525,9754,
1482,-1925,-11253,9919,18598,13230,-6910,8731,
-249,-1400,-9372,9847,18433,12574,-7051,9039,
-1578,-1422,-7574,9164,18721,12892,-6580,9722,
-2139,-816,-6623,9162,18038,13236,-6777,9141,
-3728,-1346,-6147,9593,17893,12649,-7138,8800,
-5639,-844,-3625,9540,17838,12949,-6550,8719,
-6577,-1311,-2720,8643,17731,13667,-6661,9335,
-7267,-508,-2721,8483,17802,13039,-6439,9436,
-8022,-701,-695,8568,17113,13158,-6604,9306,
-8514,-635,-11,7698,17596,13144,-5771,9351,
-10576,-160,1940,7663,17014,14314,-5676,9398,
-11641,153,2848,7668,17787,14176,-5934,10033,
-11733,650,4513,7488,16714,14259,-5602,9985,
-11560,800,4276,7184,17072,14446,-6038,9182,
-11723,1187,4643,7303,16890,15435,-6338,9973,
-13550,1894,5606,6948,16265,15441,-6819,10229,
